unknown -- Без подписи
landreev -- Андреев Л. Н.
balmont -- Бальмонт К. Д.
baratynsky -- Баратынский Е. А.
belinski -- Белинский В. Г.
blok -- Блок А. А.
bryusov -- Брюсов В. Я.
bulgakov -- Булгаков М. А.
bunin -- Бунин И. А.
garin-mikhailovsky -- Гарин-Михайловский Н. Г.
v-m-garshin -- Гаршин В. М.
gogol -- Гоголь Н. В.
goncharov -- Гончаров И. А.
gorky -- Горький М.
griboedov -- Грибоедов А. С.
grigorovich -- Григорович Д. В.
grin -- Грин А. С.
ngumilev -- Гумилев Н. С.
derzhavin -- Державин Г. Р.
dobrolyubov -- Добролюбов Н. А.
dostoevski -- Достоевский Ф. М.
esenin -- Есенин С. А.
zhukovski -- Жуковский В. А.
zamyatin -- Замятин Е. И.
karamzin -- Карамзин Н. М.
a-v-koltsov -- Кольцов А. В.
korolenko -- Короленко В. Г.
krylov -- Крылов И. А.
kuprin -- Куприн А. И.
lermontov -- Лермонтов М. Ю.
leskov -- Лесков Н. С.
lomonosov -- Ломоносов М. В.
a-n-maikov -- Майков А. Н.
mamin-sibiryak -- Мамин-Сибиряк Д. Н.
mandelstam -- Мандельштам О. Э.
mayakovski -- Маяковский В. В.
merezhkovski -- Мережковский Д. С.
nekrasov -- Некрасов Н. А.
i-s-nikitin -- Никитин И. С.
ohenry -- О. Генри
v-odoevski -- Одоевский В. Ф.
ostrovski -- Островский А. Н.
pisarev -- Писарев Д. И.
platonov -- Платонов А. П.
prishvin -- Пришвин М. М.
pushkin -- Пушкин А. С.
radishchev -- Радищев А. Н.
ryleev -- Рылеев К. Ф.
saltykov-schedrin -- Салтыков-Щедрин М. Е.
soloviev -- Соловьев В. С.
aktolstoy -- Толстой А. К.
antolstoy -- Толстой А. Н.
tolstoy -- Толстой Л. Н.
turgenev -- Тургенев И. С.
tyutchev -- Тютчев Ф. И.
fet -- Фет А. А.
fonvizin -- Фонвизин Д. И.
tsvetaeva -- Цветаева М. И.
chernyshevsky -- Чернышевский Н. Г.
chekhov -- Чехов А. П.
shakespeare -- Шекспир У.
